carreta,codigo,desc,item_code,qt,item_description,tipo
CBHM5000 CF SC RD BE P750 M17,622852M17,"622852M17 - CBHM 5000 CAFEEIRA SC RD M17 LARANJA - BASE P/ ENSILADEIRA - PNEUS 750 (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM5000 CA SS RD MM M17,622824M17,"CBHM 5000 CAFEEIRA SS RD M17 LARANJA - MANGUEIRAS MAIORES (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622804M20,"622804M20 - CBH5,0 SS RD M20 LARANJA - FORRAGEIRA (TRS) - MANGUEIRAS MAIORES - PNEUS 750 (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622843M20VM,"622843M20VM - CBH5,0 SS RD M20 VERMELHA - 5m³ FORR ALT 1,00m - PNEUS 750 - MANG MAIORES (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622834M19,"622834M19 - CBH6,0 SS RD M19 LARANJA - FORRRAGEIRA (ABL) - MANGUEIRAS MAIORES - PNEUS 750 (CARRETA BASCULANTE HIDRÁULICA 6,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622872M20,"622872M20AV - CBH5,0 SS RD M20 AMARELA - FORRAGEIRA ALT 1,00m (TRS) - MANGUEIRAS MAIORES (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622827M19,"622827M19 - CBH6,0 SS RD M19 LARANJA - FORRAGEIRA (ABL) - MANGUEIRAS MAIORES (CARRETA BASCULANTE HIDRÁULICA 6,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622886M20,"622886M20 - CBH5,0 SS RD M20 LARANJA - FORRAGEIRA ALT 1,00m (TRS) - PNEUS 700(R) (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622865M21,622865M21VM - CBHM 6000 CAFEEIRA SC RD M21 VERMELHA - MANGUEIRAS MAIORES - PNEUS 700 (CARRETA BASCULANTE HIDRÁULICA),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM6000-2E SS RS/RD P700x16 M17,622788M17,622788M17 - CBHM 6000 SS 02 EIXOS C/PNEUS 700X16 M17 (CARRETA BASCULANTE HIDRÁULICA 6 TONELADAS),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBH6-2E FO-1M SS RS/RD P750(I) M21,,CBH6-2E FO-1M SS RS/RD P750(I) M21 - Carreta Hidráulica 6t (6m3) RS/RD de 2 Eixos - 240471 - CILINDRO TELESCÓPICO CBH 6T 10 OC NV,214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622760M19,"622760M19 - CBH6,0 SS 02 EIXOS M19 LARANJA - FORRAGEIRA (ABL) - PNEUS 700 (CARRETA BASC. HIDRÁULICA 06 TON)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622743M20,"622743M20 - CBH5,0 SS RD M20 LARANJA - USO GERAL (TRS) - PNEUS 700(R) (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBH7 FO SS RD P700(R) M21,622909M21,"622909M21 - CBH6,0 SS RD M21 - LARANJA - FORR (ABL) - PNEUS 700(R) (CARRETA BASCULANTE HIDRAULICA 6TON)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622333M19,"622333M19 - CBH6,0 SS RD M19 LARANJA - FORRRAGEIRA (ABL) (CARRETA BASCULANTE HIDRÁULICA 6,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM10000 SS RS/RD P700(R) M17,622787M17,"622787M17 - CBHM 10000 02 EIXOS SS RS/RD M17 LARANJA - PNEUS 700 (CARRETA BASCULANTE HIDRÁULICA 6,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622796M20,"622796M20 - CBH5,0 CS RD M20 LARANJA - USO GERAL (TRS) - PNEUS 700 (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM5000 GR SS RD P700(R) M17,622747M17,"622747M17 - CBHM 5000 RD (5,0T) SS M17 C/PNEUS 700x16 (CARRETA BASCULANTE HIDRAULICA 5T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622744M20,"622744M20 - CBH6,0 SS RD M20 LARANJA - USO GERAL (TRS) - PNEUS 700 (CARRETA BASCULANTE HIDRAULICA 6TONELADAS)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBH5 FO SS RD MM M21,622819M21,"622819M21VM - CBH5,0 SS RD M21 VERMELHA - FORRAGEIRA (ABL) - MANGUEIRAS MAIORES (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622914M21,"622914M21VM - CBH5,0 SS RD M21 VERMELHA - FORRAGEIRA ALT 1,00m (ABL) - MANGUEIRAS MAIORES (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM5000 CF SC RD MM P700(R) M17,622916M17,"622916M17 - CBHM 5000 CAFEEIRA SC RD M17 LARANJA - MANGUEIRAS MAIORES - PNEUS 700(R) (CARRETA BASCULANTE HIDRAULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622844M20,622844M20 - FTC 4300 (FA4 SS RD FIXA M20) LARANJA - ESCADA E GRADIL - PNEUS 750 (CARRETA TANQUE 4300L),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622823M20,"622823M20VJ - CBH5,0 SC RD M20 VERDE - FORRAGEIRA (TRS) - MANGUEIRAS MAIORES (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBH5 UG SS RD P750(R) M21,622490M21,"622490M21 - CBH5,0 SS RD M21 LARANJA - USO GERAL - PNEUS 750(R) (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBH7 UG SS RD P750(R) M21,622616M21,"622616M21 - CBH6,0 SS RD M21 LARANJA - USO GERAL - PNEUS 750(R) (CARRETA BASCULANTE HIDRÁULICA 6,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622781M20AN,"622781M20AN - CBH6,0 SS RD M20 AZUL - USO GERAL (TRS) - PNEUS 750(I) (CARRETA BASCULANTE HIDRÁULICA 6,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622556M21CO,"622556M21CO - CBH5,0 SS RD M21 CINZA - FORRAGEIRA (ABL) - PNEUS 750(R) (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM6000 CF SC RD MM P750 M21,622583M21,622583M21 - CBHM 6000 CAFEEIRA SC RD M21 LARANJA - MANGUEIRAS MAIORES - PNEUS 750 (CARRETA BASCULANTE HIDRÁULICA),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622904M20,"622904M20 - CBH5,0 CS RD M20 LARANJA - FORRAGEIRA ALT 1,00m (TRS) - PNEUS 700 (R) (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBH5 UG SS RD M21,621602M21,"621602M21 - CBH5,0 SS RD M21 LARANJA - USO GERAL (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBH5 UG SS RD P700(R) M21,622743M21,"622743M21 - CBH5,0 SS RD M21 LARANJA - USO GERAL - PNEUS 700(R) (CARRETA BASCULANTE HIDRÁULICA 5,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBH7 UG SS RD P700(R) M21,622744M21,"622744M21 - CBH6,0 SS RD M21 LARANJA - USO GERAL - PNEUS 700(R) (CARRETA BASCULANTE HIDRAULICA 6,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
